Unnamed: 0,raw text,dataset,task,raw label,input text,sentiment label,text uid,keyword_1,keyword_2,keyword_3,topic_label
61,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.",ZuCo1,task1,1,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.",positive,61,brosnan,desmond,aidan,Movie Reviews and Sentiment
62,"It's a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today.",ZuCo1,task1,1,"It's a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today.",positive,62,movie,actor,lump,Movie Reviews and Sentiment
63,An intriguing and entertaining introduction to Johnson.,ZuCo1,task1,1,An intriguing and entertaining introduction to Johnson.,positive,63,johnson,introduction,entertaining,Biographies and Factual Knowledge
64,Everything was as superficial as the forced New Jersey lowbrow accent Uma had.,ZuCo1,task1,-1,Everything was as superficial as the forced New Jersey lowbrow accent Uma had.,negative,64,superficial,uma,accent,Movie Reviews and Sentiment
65,"Despite the holes in the story and the somewhat predictable plot, moments of the movie caused me to jump in my chair...",ZuCo1,task1,0,"Despite the holes in the story and the somewhat predictable plot, moments of the movie caused me to jump in my chair...",neutral,65,movie,chair,predictable,Movie Reviews and Sentiment
66,`How many more voyages can this limping but dearly-loved franchise survive?',ZuCo1,task1,0,`How many more voyages can this limping but dearly-loved franchise survive?',negative,66,voyages,franchise,survive,Movie Reviews and Sentiment
67,If only the story about a multi-million dollar con bothered to include the con.,ZuCo1,task1,0,If only the story about a multi-million dollar con bothered to include the con.,neutral,67,story,million,dollar,Biographies and Factual Knowledge
68,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.",ZuCo1,task1,-1,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.",negative,68,unfunny,men,piss,Movie Reviews and Sentiment
69,"Only a few minutes elapse before the daddy of all slashers arrives, still with the boiler suit and white mask, which look remarkably clean for a guy who has been mass-murdering since 1978 but has never been seen doing laundry.",ZuCo1,task1,0,"Only a few minutes elapse before the daddy of all slashers arrives, still with the boiler suit and white mask, which look remarkably clean for a guy who has been mass-murdering since 1978 but has never been seen doing laundry.",neutral,69,slashers,mask,suit,Biographies and Factual Knowledge
70,"Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome.",ZuCo1,task1,-1,"Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome.",negative,70,showtime,wry,movie,Movie Reviews and Sentiment
71,"Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV, they show a remarkable ability to document both sides of this emotional car-wreck.",ZuCo1,task1,1,"Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV, they show a remarkable ability to document both sides of this emotional car-wreck.",positive,71,filmmakers,wreck,scene,Biographies and Factual Knowledge
72,"A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious.",ZuCo1,task1,-1,"A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious.",negative,72,zombie,movie,lifeless,Movie Reviews and Sentiment
73,"It has fun with the quirks of family life, but it also treats the subject with fondness and respect.",ZuCo1,task1,1,"It has fun with the quirks of family life, but it also treats the subject with fondness and respect.",positive,73,family,fondness,fun,Movie Reviews and Sentiment
74,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.",ZuCo1,task1,1,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.",positive,74,comedy,novak,cast,Movie Reviews and Sentiment
75,"Since Lee is a sentimentalist, the film is more worshipful than your random E!",ZuCo1,task1,0,"Since Lee is a sentimentalist, the film is more worshipful than your random E!",positive,75,lee,sentimentalist,worshipful,Movie Reviews and Sentiment
76,"The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.",ZuCo1,task1,-1,"The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.",negative,76,suspense,movie,emotional,Movie Reviews and Sentiment
77,"High Crimes knows the mistakes that bad movies make and is determined not to make them, and maybe that is nobility of a sort.",ZuCo1,task1,0,"High Crimes knows the mistakes that bad movies make and is determined not to make them, and maybe that is nobility of a sort.",negative,77,nobility,crimes,movies,Movie Reviews and Sentiment
78,But it's too long and too convoluted and it ends in a muddle.,ZuCo1,task1,-1,But it's too long and too convoluted and it ends in a muddle.,negative,78,muddle,convoluted,ends,Movie Reviews and Sentiment
79,This thing works on no level whatsoever for me.,ZuCo1,task1,-1,This thing works on no level whatsoever for me.,negative,79,level,works,whatsoever,Movie Reviews and Sentiment
80,... a bland murder-on-campus yawner.,ZuCo1,task1,-1,... a bland murder-on-campus yawner.,negative,80,yawner,bland,campus,Movie Reviews and Sentiment
81,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.,ZuCo1,task1,,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.,negative,81,title,films,london,Movie Reviews and Sentiment
82,"One of the finest, most humane and important Holocaust movies ever made.",ZuCo1,task1,1,"One of the finest, most humane and important Holocaust movies ever made.",positive,82,holocaust,humane,movies,Movie Reviews and Sentiment
83,"Suffers from rambling, repetitive dialogue and the visual drabness endemic to digital video.",ZuCo1,task1,-1,"Suffers from rambling, repetitive dialogue and the visual drabness endemic to digital video.",negative,83,drabness,repetitive,dialogue,Movie Reviews and Sentiment
84,"The twist that ends the movie is the one with the most emotional resonance, but twists are getting irritating, and this is the kind of material where the filmmakers should be very careful about raising eyebrows.",ZuCo1,task1,0,"The twist that ends the movie is the one with the most emotional resonance, but twists are getting irritating, and this is the kind of material where the filmmakers should be very careful about raising eyebrows.",negative,84,twists,twist,ends,Movie Reviews and Sentiment
85,"Angel presents events partly from the perspective of Aurelie and Christelle, and infuses the film with the sensibility of a particularly nightmarish fairytale.",ZuCo1,task1,0,"Angel presents events partly from the perspective of Aurelie and Christelle, and infuses the film with the sensibility of a particularly nightmarish fairytale.",neutral,85,angel,fairytale,aurelie,Movie Reviews and Sentiment
86,Features one of the most affecting depictions of a love affair ever committed to film.,ZuCo1,task1,1,Features one of the most affecting depictions of a love affair ever committed to film.,positive,86,film,love,affair,Movie Reviews and Sentiment
87,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.,ZuCo1,task1,1,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.,neutral,87,temper,quills,intensely,Movie Reviews and Sentiment
88,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...",ZuCo1,task1,-1,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...",negative,88,eyelids,conscious,heavy,Movie Reviews and Sentiment
89,"... a solid, well-formed satire.",ZuCo1,task1,1,"... a solid, well-formed satire.",positive,89,satire,solid,formed,Movie Reviews and Sentiment
90,Deserves high marks for political courage but barely gets by on its artistic merits.,ZuCo1,task1,0,Deserves high marks for political courage but barely gets by on its artistic merits.,negative,90,artistic,courage,deserves,Movie Reviews and Sentiment
91,Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love.,ZuCo1,task1,1,Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love.,positive,91,lips,lyrical,love,Biographies and Factual Knowledge
92,"... creates a visceral sense of its characters' lives and conflicted emotions that carries it far above... what could have been a melodramatic, Lifetime Channel-style anthology.",ZuCo1,task1,0,"... creates a visceral sense of its characters' lives and conflicted emotions that carries it far above... what could have been a melodramatic, Lifetime Channel-style anthology.",neutral,92,anthology,emotions,visceral,Movie Reviews and Sentiment
93,Reeks of rot and hack work from start to finish.,ZuCo1,task1,0,Reeks of rot and hack work from start to finish.,negative,93,rot,reeks,hack,Biographies and Factual Knowledge
94,Just how these families interact may surprise you.,ZuCo1,task1,0,Just how these families interact may surprise you.,neutral,94,families,surprise,interact,Movie Reviews and Sentiment
95,"The Movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty.",ZuCo1,task1,-1,"The Movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty.",negative,95,movie,potatoes,blow,Movie Reviews and Sentiment
96,"Even a hardened voyeur would require the patience of Job to get through this interminable, shapeless documentary about the swinging subculture.",ZuCo1,task1,-1,"Even a hardened voyeur would require the patience of Job to get through this interminable, shapeless documentary about the swinging subculture.",negative,96,documentary,patience,interminable,Movie Reviews and Sentiment
97,"Creepy, authentic and dark.",ZuCo1,task1,0,"Creepy, authentic and dark.",negative,97,creepy,authentic,dark,Movie Reviews and Sentiment
98,A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her.,ZuCo1,task1,-1,A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her.,negative,98,comedy,character,romantic,Movie Reviews and Sentiment
99,"Rob Schneider's infantile cross-dressing routines fill The Hot Chick, the latest gimmick from this unimaginative comedian.",ZuCo1,task1,-1,"Rob Schneider's infantile cross-dressing routines fill The Hot Chick, the latest gimmick from this unimaginative comedian.",negative,99,gimmick,comedian,schneider,Movie Reviews and Sentiment
100,"The film is a contrivance, as artificial as the video games Japanese teens play in a nightclub sequence, but it's an enjoyable one.",ZuCo1,task1,0,"The film is a contrivance, as artificial as the video games Japanese teens play in a nightclub sequence, but it's an enjoyable one.",positive,100,film,artificial,contrivance,Movie Reviews and Sentiment
101,"At its worst the screenplay is callow, but at its best it is a young artist's thoughtful consideration of fatherhood.",ZuCo1,task1,0,"At its worst the screenplay is callow, but at its best it is a young artist's thoughtful consideration of fatherhood.",neutral,101,screenplay,fatherhood,artist,Movie Reviews and Sentiment
102,At 78 minutes it just zings along with vibrance and warmth.,ZuCo1,task1,1,At 78 minutes it just zings along with vibrance and warmth.,neutral,102,minutes,vibrance,78,Movie Reviews and Sentiment
103,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",ZuCo1,task1,1,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",positive,103,documentary,movie,brown,Biographies and Factual Knowledge
104,"As quiet, patient and tenacious as Mr. Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline.",ZuCo1,task1,1,"As quiet, patient and tenacious as Mr. Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline.",positive,104,lopez,patient,quiet,Biographies and Factual Knowledge
105,"Instead of hiding Pinocchio from critics, Miramax should have hidden it from everyone.",ZuCo1,task1,-1,"Instead of hiding Pinocchio from critics, Miramax should have hidden it from everyone.",neutral,105,miramax,pinocchio,critics,Movie Reviews and Sentiment
106,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,ZuCo1,task1,-1,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,negative,106,director,chen,film,Movie Reviews and Sentiment
107,Jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness.,ZuCo1,task1,1,Jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness.,positive,107,jeffs,expressiveness,dialogue,Movie Reviews and Sentiment
108,"Just about the best straight-up, old-school horror film of the last 15 years.",ZuCo1,task1,1,"Just about the best straight-up, old-school horror film of the last 15 years.",positive,108,horror,film,old,Movie Reviews and Sentiment
109,"Gosling creates a staggeringly compelling character, a young man whose sharp intellect is at the very root of his contradictory, self-hating, self-destructive ways.",ZuCo1,task1,1,"Gosling creates a staggeringly compelling character, a young man whose sharp intellect is at the very root of his contradictory, self-hating, self-destructive ways.",positive,109,gosling,character,intellect,Movie Reviews and Sentiment
110,"I thought the relationships were wonderful, the comedy was funny, and the love `real'.",ZuCo1,task1,1,"I thought the relationships were wonderful, the comedy was funny, and the love `real'.",positive,110,comedy,love,relationships,Movie Reviews and Sentiment
111,Better at putting you to sleep than a sound machine.,ZuCo1,task1,-1,Better at putting you to sleep than a sound machine.,neutral,111,sound,machine,sleep,Movie Reviews and Sentiment
112,Feels less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series.,ZuCo1,task1,-1,Feels less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series.,negative,112,sequel,blade,runner,Movie Reviews and Sentiment
113,"Elegantly produced and expressively performed, the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy.",ZuCo1,task1,1,"Elegantly produced and expressively performed, the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy.",positive,113,musical,dreamlike,numbers,Movie Reviews and Sentiment
114,"Ultimate X is a ride, basically the kind of greatest-hits reel that might come with a subscription to ESPN the Magazine.",ZuCo1,task1,0,"Ultimate X is a ride, basically the kind of greatest-hits reel that might come with a subscription to ESPN the Magazine.",positive,114,ultimate,subscription,magazine,Movie Reviews and Sentiment
115,"Celebrated at Sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",ZuCo1,task1,1,"Celebrated at Sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",positive,115,sundance,comedy,performances,Movie Reviews and Sentiment
116,"Apparently, romantic comedy with a fresh point of view just doesn't figure in the present Hollywood program.",ZuCo1,task1,-1,"Apparently, romantic comedy with a fresh point of view just doesn't figure in the present Hollywood program.",negative,116,hollywood,comedy,romantic,Movie Reviews and Sentiment
117,That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace.,ZuCo1,task1,1,That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace.,positive,117,haynes,facades,character,Biographies and Factual Knowledge
118,"Some elements of it really blow the big one, but other parts are decent.",ZuCo1,task1,0,"Some elements of it really blow the big one, but other parts are decent.",positive,118,blow,big,decent,Movie Reviews and Sentiment
